profession,requirements
11,"Обязанности:  Разработка маркетинговых материалов и статей (Transmedia storytelling) по различным программным продуктам (САПР, PLM\PDM, BIM…) и технологиям; Актуализация документации; Составление сравнительного анализа программного обеспечения; Разработка, согласование, оформление технической и пользовательской документации; Взаимодействие с проектными отделами в части исследования предметной области.    Требования:  Образование: техническое\журналистика, высшее; Опыт работы в IT-сфере и\или PR приветствуется; Грамотный устный и письменный русский язык; Знание английского языка на уровне Upper-Intermediate; Владение графическими редакторами Adobe Photoshop, Adobe Illustrator, Corel Draw, Adobe InDesign и т.п. будет преимуществом; Владение IT-терминологией будет преимуществом; Наличие опыта ведения блога\паблика\сайта по IT-тематике будет преимуществом; Коммуникабельность, инициативность, аккуратность, усидчивость, работоспособность, нацеленность на результат; Чувство юмора, креативность; Работа строго в офисе; Желание развиваться в данном направлении.    Условия:  Интересная работа в стабильной компании; Оформление по ТК; Заработная плата по результатам собеседования; Возможности для профессионального и карьерного роста; Дружный коллектив. Развитая корпоративная культура; Офис в современном бизнес-центре класса B+. Расположение между метро Курская, Красные ворота, Комсомольская, Тургеневская – в пешей доступности от 4 вокзалов."
3,"Планирование работ, координация, оценка выполнения поставленных задач в рамках проекта. Координация работ по проекту: заказчик, разработчики, монтажные бригады. Оперативное принятие решений на своём уровне и подготовка проектов предложений по развитию данного проекта.    Наши ожидания от кандидата:  Высшее техническое образование. Опыт продажи и управления проектами по внедрению информационных технологий. Понимание принципов работы сетевого оборудования, оборудования систем безопасности, информационных систем. Навыки подготовки технической документации (ТЗ, протоколы испытания, технические акты и т.д.). Опыт сопровождения гос. контрактов (взаимодействие с гос. комитетами, переговоры с ключевыми партнерами).    Что мы предлагаем:  Достойную заработную плату: оклад (обсуждаем с кандидатами на финальных встречах) + бонусы по закрытию этапов проекта. Интересные разносторонние задачи. Работа в комфортном офисе возле ст. м Чкаловская. Возможность обучения, в рамках корпоративных программ. Корпоративная программа ДМС. Разнообразная корпоративная жизнь."
8,"В свою дружную и позитивную команду мы ищем грамотного SEO-оптимизатора сайтов. Если у тебя есть успешный опыт работы в SEO агентствах, ты готов нести ответственность за результат, тебе нравится твоя профессия и ты хочешь развиваться дальше, тогда добро пожаловать к нам!  Обязанности:  - Продвижение сайтов в поисковых системах Яндекс и Google, вывод в ТОП по ключевым запросам  - Написание технических заданий по изменению сайтов для программистов и копирайтеров с целью улучшения индексации и привлечения целевого трафика  - Проведение комплексных SEO-аудитов сайтов  - Составления плана продвижения по каждому проекту, анализ эффективности выбранной стратегии  - Составление ежемесячных отчётов с анализом достигнутых результатов и планом работ на следующий месяц  - Анализ изменений алгоритмов ПС  Требования:  - Опыт работы по продвижению крупных проектов от 1 года  - Опыт успешного продвижения от 3 проектов одновременно  - Опыт работы с большими семантическими ядрами  - Личный опыт вывода сайтов в ТОП-10 по среднечастотным и высокочастотным запросам  - Хорошие знания принципов ранжирования и работы ПС  Условия:  - Работа в комфортном офисе класса Б+  - Реальные перспективы карьерного роста  - Дружный молодой коллектив  - Оформление по ТК, оплата отпусков и больничных  - Оплата дополнительных расходов (мобильная связь, семинары, конференции, профессиональная литература и т.д.)  - Демократичная обстановка в офисе, чай, кофе, печенюшки, и т.д.  - Уровень оклада обсуждается с успешным кандидатом  - График работы с 10.00 до 19.00  ВАЖНО! Не рассматриваем кандидатов, которые планируют работать удалённо!"
2,"В связи с активным развитием и запуском новых направлений digital-агентство Xpage ищет ведущего веб-разработчика (техлида). Даже если вы уже работаете – приходите, мы уверены что встреча будет полезной. Вам предстоит заниматься:  изучение новых технологий и их внедрение (у нас масса идей и новых направлений) оптимизация процессов и координация работы направления разработки разработкой сложных веб-проектов/сайтов для ТОПовых челябинских и российских компаний (реальные, интересные, живые проекты) разработкой автоматизированных систем управления (корпоративные порталы со сложной интеграцией) участвовать в командной разработке веб-решений с внутренними и внешними специалистами, формирование команды написание документации и стандартизация разработкой шаблонизированных решений/модулей на 1С-Битрикс; разработкой внутернних проектов компании разработкой новых, рефакторинг типовых решений 1С-Битрикс: Маркетплейс  Требования к кандидату:  опыт работы с продуктами 1С-Битрикс от 1 года требуемый опыт работы по специальности: от 5 года. успешно реализованные проекты по разработке интернет-проектов навыки написания и работы с документацией качества командного игрока - лидера: способный к компромиссам и работе в проектной группе, но при этом самостоятельная сильная единица этой команды, умеющая брать на себя ответственность и работать на результат опыт работы с API (1С) аналитический склад ума высокие навыки коммуникации знание веб-сервисов и их стандартов (REST, SOAP, WSDL), SQL, SVN опыт работы с ORM (Entity Framework, NHibernate), JavaScript и jQuery  "
8,"В связи с активным развитием и запуском новых направлений digital-агентство Xpage ищет seo специалиста/интернет-маркетолога. Даже если вы уже работаете – приходите, мы уверены что встреча будет полезной. Вам предстоит заниматься:  аудитом клиентских проектов разработкой оптимальных стратегий привлечения клиентов составлением семантического ядра, подбор посадочных страниц и распределение запросов между ними разработкой технических заданий, анализом и мониторингом, распределением задач и контролем исполнителей внутренней и внешней оптимизацией сайтов анализом поисковой выдачи и сайтов конкурентов составлением отчетов анализом конверсий и постановкой целей участием в проектировании новых сайтов изучением и внедрением новых технологий оптимизацией процессов  Требования к кандидату:  опыт в SEO не менее 2 лет опыт продвижения сайтов в конкурентных тематиках опыт улучшения поведенческих факторов уверенное знание принципов работы поисковых систем Яндекс, Google знание основ HTML/CSS знание Яндекс.Метрики и Google.Analytics готовность курировать несколько проектов одновременно опыт работы в сфере продаж информационных систем приветствуется аналитический склад ума высокие навыки коммуникации "
3,"В связи с активным развитием компании ищем целеустремленного менеджера по продажам. Даже если вы уже работаете – приходите. Уверены, вам понравится наше предложение.   Вам предстоит заниматься:  работой с входящими заявками на разработку сайтов, внедрение CRM, корпоративных порталов, услуги маркетинга; самостоятельной продажей услуг по разработке и продвижению сайтов; ведением переговоров с текущими и новыми клиентами; проведением встреч с клиентами и разработкой коммерческих предложений; продажей продуктов компании, ведением и обучением клиентов; внедрением продуктов и работой с командой разработчиков; развитием направления и изучением новых продуктов; маркетинговой деятельностью и проведением мероприятий; запуском новых направлений; управлением документооборотом; управлением сроками/бюджетом/рисками/качеством проектов; решением конфликтных вопросов с клиентами, консультированием их по любым вопросам.    Требования к кандидату:  умение четко аргументировать и отстаивать свою позицию; опыт разработки коммерческих предложений и презентаций; знание технологий разработки сайтов (приветствуется); опыт написания ТЗ и проектной документации (приветствуется); наличие рекомендаций от специалистов digital-рынка (приветствуется); умение работать в режиме многозадачности и мотивировать окружающих на достижение результата; наличие практического опыта работы в команде; настойчивость и упорство, а также огромное желание развиваться и добиваться результата; высокая работоспособность; понимание процесса разработки сайта.    Мы предлагаем:  возможность индивидуального/гибкого графика работы; существующую клиентскую базу и базу тёплых лидов; регулярное обучение и развитие (компания оплачивает курсы повышения квалификации, обучение в академии Bitrix); официальное трудоустройство и зарплату без задержек; возможность роста и развития; премию, которая зависит только от твоей работы; участие в корпоративных семинарах и мероприятиях; самые вкусные печеньки."
9,"В связи с активным развитием Компании приглашаем в команду профессионалов Контент-менеджера.  Обязанности:​​​  Сбор информации от функциональных подразделений для формирования и генерирования информационных поводов. Написание и публикация новостей и другого контента на страницы сайтов Компании и на профильные торговые площадки. Верстка контента. Оперативная и самостоятельная генерация текстового контента. Требования:  Аналогичный опыт работы у одного работодателя от 2х лет. Высшее образование. Оперативность и желание работать в режиме многозадачности в сжатые временные рамки. Нtml- верстка, знание bitrix и joomla. Условия:  Работу в собственном БЦ по адресу: Химки, Транспортный проезд; Предоставляем бесплатную, охраняемую парковку; На территории Бизнец-центра работает бар и кафе; Корпоративный транспорт от м. Сходненская. График работы 5/2 с 9.00 до 18.00; Оформление по ТК (оплата больничных листов, отпуск 28 дней); Дружный коллектив, возможности профессионального развития; Корпоративная мобильная связь (телефон + сим-карта)."
10,"В связи с активным развитием нового проекта команда разработчиков компании Renga Software приглашает кандидатов на позицию инженер по тестированию.Наш проект - создание современной BIM-системы для строительного проектирования - 3D-моделирование, работа с графикой.Для нас важно, чтобы новый коллега был открыт для обмена мнениями, конструктивен.Требования:  Опыт работы в области тестирования программных продуктов от 2х лет. Опыт тестирования desktop приложений на С++ (QT в особенности). Опыт автоматизации GUI в Qt -приложениях (Ranorex, Test Complete, Squish и др.). Владение одним или несколькими скриптовыми языками (Python и др.).   Понимание Agile-методологий.   Наличие базовых представлений о проектировании.   Опыт работы с bug-tracking системами, с системами виртуализации.   Опыт использования систем контроля версий.   Умение грамотно формулировать свои мысли письменно и устно.   Упорство, въедливость, желание участвовать в создании современного и качественного программного продукта.  Задачи:  Выполнение задач по ручному тестированию программного продукта.   Разработка и поддержка автоматизированных тестов.   Написание и актуализация чек-листов.   Разработка стратегии тестирования.   Локализация и сопровождение дефектов в течении всего жизненного цикла.   Взаимодействие с аналитиками, разработчиками, техническим писателем и группой техподдержки.  Мы предлагаем:   Работу в крупной российской IT-компании. Возможность постоянного профессионального развития.   Интересные, сложные задачи, удобный график.   Соблюдение всех социальных гарантий.   Ежеквартальные премии в размере оклада по результатам работы.   Замечательный коллектив, демократичное руководство.   Комфортный офис на Васильевском острове."
8,"В связи с активным ростом компании, запущен start-up проект интернет-магазин PILKI. Приглашаем в нашу команду SMM-специалиста.   Обязанности:  Владение знаниями полного инструментария продвижения в следующих социальных сетях: ВК, Fb, Instagram, YouTube Разработка стратегий размещения контента и стратегий продвижения продукта или бренда в социальных сетях. Медиа-планирование. Бюджетирование. Контент-менеджемент. Управление всеми видами рекламы в соцсетях. Работа с тематическими сообществами и лидерами мнений – привлечение агентов влияния в социальных сетях. Разработка, организация и проведение конкурсов, акций и внедрение новых интерактивных инструментов и механик. Привлечение новых подписчиков, поддержание пользовательской активности в группах. Определение ключевых показателей эффективности, анализ реализованных проектов, формирование еженедельной отчётности по результатам деятельности.    Требования:  Успешный практический опыт работы в SMM обязателен. Хорошие аналитические способности, умение работать с большими объемами данных, креативность, творческие данные Самостоятельность, инициативность, активность, умение работать в режиме многозадачности, способность к саморазвитию и самообразованию.    Условия:  Трудоустройство по ТК РФ. Заработная плата по результатам собеседования. Возможность карьерного роста. Работа в стабильной крупной компании. Комфортный офис в шаговой доступности от ст.м. Ладожская. График работы: 5/2. Дружный коллектив, возможность развития."
9,"В связи с активным ростом направления Интернет-торговли в компании Shop&Show, приглашаем на работу Контент-менеджера  Компания занимается дистанционной продажей товаров нескольких ассортиментных групп: одежда, обувь, домашний текстиль, ювелирные украшения, товары для кухни и другие   Работая с нами, Вы получите: Работу в высоко технологичной компании с современной культурой  Неограниченные возможности карьерного и профессионального роста Интересную работу в сплочённой команде профессионалов, работающих на результат  Функционал:  Заполнение карточек товаров  Обновление и проверка цен  Загрузка / проверка наличия фото  Обновления остатков товара  Загрузка видео  Загрузка акций  Проверка готового товара  Требования:  Хорошее знание Bitrix или других CMS  Умение работать с большим объёмом данных  Умение работать быстро  Знание Excel и других приложений и офисных редакторов  Умение работать в 1С (как плюс)  Условия:  График работы 2/2 с 8:00 до 20:00  Комфортный офис класса В+ в БЦ Шереметьевский рядом с м. Марьина Роща (10 мин пешком)  Оформление по ТК РФ  Частичная компенсация оплаты парковки"
3,"В связи с дальнейшим развитием бизнеса крупная федеральная приглашает соискателей на замещение вакантной должности Руководителя проектов  ПОЖЕЛАНИЯ К СОИСКАТЕЛЮ:  Опыт руководителем отдела тестирования, ведущий тестировщик, руководитель отдела ИТ Опыт управления проектами и (или) проектным портфелем. Наличие успешно завершенных проектов. Сертификат PMP - является преимуществом. Опыт работы со Scrum-командами – является преимуществом. Необходимые знания, умения, навыки:  Умения планировать и распределять ресурсы, оценивать сроки, трудозатраты, резервы, риски, качество проектов Умение решать поставленные задачи, работать на результат Навык создания команды Необходимые личностные качества:  Организаторские способности, управленческие качества, стрессоустойчивость, честность ДОЛЖНОСТНЫЕ ОБЯЗАННОСТИ:  Подготовка и планирование проектов с выстраиванием коммуникаций с Заказчиками и Подрядчиками Управление проектом, достижение результата в установленные сроки. Руководство аналитиками, разработчиками в рамках проекта (матричное подчинение) Ведение документации по проектам МЫ РАДЫ ПРЕДЛОЖИТЬ ВАМ:  Интересные и сложные задачи, новейшие технологии. Работу в доброжелательном и дружном коллективе. Официальное трудоустройство согласно ТК РФ. Рассматриваются зарплатные ожидания кандидатов. Офис в центре Екатеринбурга (ст. метро ""Геологическая"")"
7,"В связи с расширением бизнеса компания «Астерит» - региональный лидер по поставке решений для комплексной защиты от информационных угроз, приглашает принять участие в конкурсе на вакансию «Инженер по информационной безопасности».  «Астерит» обладает лицензиями ФСТЭК и ФСБ на деятельность по защите информации.  Обязанности:  Проведение тестов на проникновение компьютерных сетей, исследование безопасности веб-приложений, беспроводных сетей и других систем. Подготовка рекомендаций по устранению уязвимостей; Подготовка сред для демонстрации сценариев уязвимостей; Формирование отчетных документов по проектам. Требования:  Опыт разработки web-приложений (php, python, ruby и т.п.); Опыт программирования на одном из языков C/C++/C#/Java; Понимание природы уязвимостей ПО, методов взлома; Знания ОС семейства MS Windows, MS Windows Server, службы каталогов Active Directory на уровне администратора; Знание архитектуры современных информационных систем (инфраструктура, виртуализация, СУБД, бизнес-приложения); Понимание работы сетей на базе TCP/IP, основных сетевых протоколов, веб-протоколов; Опыт работы с популярными СУБД (особенно MS SQL Server) Условия работы:  Оформление по ТК РФ. Уровень з/п зависит от вашего опыта и обсуждается индивидуально. Гибкий подход к рабочему процессу, уникальный профессиональный рост, интересные задачи, регулярное обучение и сертификация. Комфортная среда для сотрудников: в компании есть удобная обеденная зона с современным кухонным оборудованием, где каждый желающий может сварить себе кофе, выпить чашку чая, пообедать. Уважаемые кандидаты! Если у вас не хватает навыков, которые мы указали в пункте Требования, но тема вам интересна и вы хотите развиваться именно в этом направлении, все равно откликайтесь, рассмотрим всех!"
5,"В связи с расширением и развитием Торговая сеть Монетка приглашает умных и талантливых кандидатов принять участие в конкурсе на позицию Системного аналитика.   Обязанности: - консультация внутренних заказчиков по работе существующей системы - сбор, систематизация, согласование требований к программному продукту от подразделений - реализация требований заказчика в информационных системах компании - постановка задач разработчикам, контроль исполнения, тестирование - подготовка документации, управление документацией по системам/бизнес-процессам - обеспечение качества выполняемых работ   Требования: - высшее образование (профильное) - опыт работы от 1 года в сфере информационных технологий - знание основ программирования (SQL), навыки сбора требований у заказчиков, постановки тех.задач разработчикам, тестирования, грамотная устная и письменная речь - желателен опыт работы в аналогичной должности (технолог, системный аналитик, бизнес-аналитик) - системный подход, аналитическое мышление - хорошо развитые коммуникативные навыки, умение слышать и слушать, уметь аргументированно отстаивать свою позицию - внимательность к деталям   Условия: - официальное трудоустройство и соц. пакет согласно ТК РФ - официальная заработная плата (60 000 руб.) - место работы в современном офисе Бизнес комплекса «Квартал» с развитой инфраструктурой ул. Сибирский тракт,  - режим работы: пятидневная рабочая неделя с 9:00 или 10:00 (на выбор сотрудника) - бесплатная доставка служебным транспортом от Цирка, Юж.Автовокзала, ТРЦ Парк-Хаус   У нас Вы сможете: - принять активное участие в интересных и важных проектах компании - развить свой потенциал - получить перспективы для дальнейшего развития."
5,"В связи с расширением компании и стартом разработки большого проекта, команда Destiny.Games будет рада видеть в своих рядах системного аналитика.  Вы будете участвовать в проекте, который определяет общий вектор развития компании. Это сложные и интересные задачи и большая ответственность.  А еще, это отличный способ испытать свой профессионализм и гордиться сделанной работой, и, конечно, возможности для профессионального, материального и карьерного роста!  Проект большой и аналогов в мире не имеет. Все подробности того, к чему вам предстоит приложить руку и не только, по ссылке - https://www.theabyss.com/  Чем предстоит заниматься:  Анализ продуктов конкурентов и исследование трендов порталов в игровой индустрии; Участие в формулировании Бизнес-требований; Написание Use Case/User Stories в соответствии с Бизнес-требованиям; Анализ, формирование и управление функциональными требований к продукту; Создание и оформление Технических Заданий на разработку функционала, совместно с UX-дизайнерами и Системным Архитектором; Поддержка документации в течении всей жизни проекта. Перспективы роста: рост до Руководителя отдела Проектирования по мере его формирования и увеличения объема работы.  Чего мы ожидаем от кандидата:  Вы обладаете достаточно глубоким техническим бэкграундом и понимаете принципы гибких методологий разработки; У Вас есть опыт работы в качестве аналитика, технического писателя, тестировщика или руководителя проектов веб продуктов от 3-х лет; Вы обладаете аналитическим мышлением, коммуникабельны и самостоятельны, а также способны грамотно и понятно излагать свои мысли; Вы привыкли пользоваться Jira/Confluence/Google Docs, а также знаете удобный для вас инструмент для управления требованиями; Вы любите играть ( в свободное от работы время) и хотя бы слышали про STEAM и GOG. Что мы предлагаем:  Действительно интересные задачи и отличный коллектив; Достойную оплату труда по итогам собеседования; Оформление по ТК РФ; Умеренно гибкий график и шаговую доступность от метро; Уютный офис с кучей приятных моментов: чай, кофе, PlayStation, комната отдыха, «капсула сна» для повышения работоспособности, настольный теннис и прочие радости."
2,"В связи с расширением компании мы ищем веб-программистов График работы:- пятидневная рабочая неделя c 9 до 17- выходные и праздники по ТК.- испытательный срок 2 мес.С нашей стороны:- хорошая прозрачная система оплаты труда, состоящая из оклада в соответствии с вашим уровнем, реально выполнимого плана + гибкой и удобной системы премиальных- интересные задачи и проекты.- ваш профессиональный рост- ваш карьерный ростМы ценим хороших специалистов.А также имеем уникальные разработки, которые позволят вам не застаиваться в развитии и всегда двигаться вперед.P.S. Специалистам,желающим перейти на новое место работы с повышением, конфиденциальность обращения гарантируется Чай, кофе как обычно, за счет компании.   Требования:- опыт самостоятельной работы с веб-проектами (сайты, сервисы и другие) (особым плюсом будет e-commerce системы и интернет-магазины)- хорошее знание HTML+CSS+JS (front-end)- хорошее знание PHP+MySQL (back-end)- стойкий интерес к веб-технологиям,- хорошее знание принципов работы веб-систем (сайтов, проектов)Приветствуется (будет рассматриваться как плюс):- опыт создания сложных веб-проектов- опыт работы с коммерческими CMS, php-фреймворками и средами разработки- опыт самостоятельной работы с веб-серверами на базе Linux- все, что может подчеркнуть ваш потенциал (не забудьте указать это в резюме).   От вас потребуется:- трудолюбие- качество и профессионализм- желание всегда расти и развиваться, в чем мы вам всегда поможем.   Обязанности: - разработка проектов и решений для 1С-Битрикс, а также работа с собственными сервисами и решениями. Это могут быть: простые сайты, интернет-магазины, порталы, веб-сервисы и типовые решения для бизнеса на базе (PHP+MySQL), либо нестандартные проекты."
9,"В связи с расширением компании, Restoclub.ru приглашает в свою команду редактора/контент-менеджера.Ключевые качества: внимательность, педантичность, четкость, ответственность.Обязанности:  Размещение контента на сайте Общение с клиентами Поиск и анализ информации Различные задачи, связанные с размещением контента и улучшением работы сайта Постановка задач для разработчиков  Требования:  Опыт работы контент-менеджером, администратором сайта от 1 года Стилистическая и орфографическая грамотность Умение быстро искать и анализировать информацию Опытный ПК - пользователь, работа с большими объемами данных, опыт работы с CMS Интерес к ресторанной и гастрономической тематике Отличные коммуникативные навыки, внимательность и аккуратность Знание английского языка, навыки работы с фотоконтентом будут вашим преимуществом.  Условия:  Мы предлагаем работу в современном, светлом офисе в центре города Оформление по ТК. Демократичное руководство. Молодой дружный коллектив. Совместный отдых, кикер в офисе. Стабильный оклад. Выплата заработной платы 2 раза в месяц без опозданий. Пятидневка, с 11.00 до 19.30 Оформление по ТК, оплачиваемый отпуск и больничные листы Перспективы роста  Важно: Напишите в сопроводительном письме был ли у вас опыт общения с клиентами, коммуникации с отделом разработки (программистами).С какими CMS работали, приходилось ли сталкиваться со сложными ситуациями и как вы их решали (пара примеров)   Мы всегда отдаем приоритет кандидатам, написавшим нам сопроводительное письмо."
7,"В связи с расширением штата в отдел Отдел информационной безопасности требуется Ведущий специалист.  Обязанности:  контроль соблюдения работниками требований ИБ с помощью специализированного ПО; контроль прав доступа пользователей с помощью специализированного ПО; анализ событий/сетевого трафика, поступающего от различных источников событий (Windows, UNIX, сетевое оборудование, бизнес-приложения и т.д.) с целью выявления инцидентов ИБ; проведение расследований инцидентов ИБ; настройка и поддержка SIEM-системы; разработка парсеров для неподдерживаемых источников событий в SIEM; разработка программ для автоматизации выполнения своих обязанностей. Требования:  высшее техническое образование - специалитет, магистратура; опыт работы в области информационной безопасности не менее 3 лет; знание английского языка на уровне деловой переписки и общения с иностранными сотрудниками компании; опыт работы в области администрирования компьютерных систем и/или сетей не менее 3 лет; знание современных сетевых технологий; знание технологий баз данных; знание языка программирования Perl; знание и понимание современных угроз безопасности информации и способов борьбы с ними; умение собирать, структурировать, документировать и анализировать разрозненную информацию; высокая самоорганизация и ответственность; желание развиваться, инициативность; быстрая обучаемость; внимательность к деталям; аналитический склад ума. Вашим преимуществом будет:  образование – высшее по направлению «Информационная безопасность» или техническое с дополнительной переподготовкой по этому направлению в объеме не менее 500 часов; опыт работы со сканерами уязвимостей (Nessus), forensic ПО, SIEM-системами, PUM-системами; опыт проведения аудитов по информационной безопасности; опыт подготовки технической документации по информационной безопасности, разработки регламентов и инструкций. Условия:  Интересные задачи: проекты федерального масштаба с уникальной структурой; Сильная команда: эксперты высокого уровня, работа в дружелюбной атмосфере; Достойная оплата: полностью «белая» заработная плата, понятная премиальная система; Развитие и обучение: оплата внешних тренингов, семинаров и конференций; Забота о здоровье: ДМС, офисный врач, страхование от несчастных случаев, спортзал в офисе; Комфортные условия: гибкий график, свободный дресскод, бесплатные чай, кофе, горячий шоколад и молокo; Индивидуальный подход: дополнительные компенсации с возможностью выбора (фитнес, гаджеты, билет/путевка в отпуск), пособие при рождении ребенка, поддержка в сложных жизненных ситуациях и др."
