profession,requirements
0,"Знания MS SQL Server 2005 - 2014 Отличное знание и понимание T-SQL Разработка архитектуры БД, написание индексов Написание сложных хранимых процедур, функций и тригеров Оптимизация кода процедур и анализ плана выполнения (SHOW PLAN)  Очень приветствуется:  Опыт Работы с XQuery Опыт Работы с CLR функциями Опыт Работы с динамическими скриптами в T-SQL Опыт Работы с SQL Agent, управление работой JOB из процедур Опыт Работы с Linked Server и через OPEN QUERY Опыт Работы с CmdSHELL, bulk"
0,"Сопровождение прикладного программного обеспечения; Администрирование баз данных MS SQL 2008; Сопровождение специализированных программных комплексов централизованной обработки данных; Решение обращений пользователей на 2-ой линии технической поддержки (1С); Взаимодействие с разработчиками; Ведение технической и внутренней документации.Знание операционных систем семейства Windows на уровне опытного пользователя; Опыт работы с базами данных MS SQL, опыт администрирования; Знание механизмов резервного копирования и восстановления баз данных; Английский язык на уровне чтения технической документации; Наличие высшего профильного образования и сертификатов приветствуется. Английский язык технический."
0,"- настройка и администрирование баз данных SQL, - отслеживание и устранение ошибок сервисной части ПО, - администрирование ПО АСКОН, - установка и настройка ПО АСКОН, - техподдержка пользователей (конструкторов и технологов) по ПО компании АСКОН (ЛОЦМАН: PLM 2014, компас 3D V16, вертикаль 2014, справочники), - разработка и внедрение новых программных продуктов, - тестирование и внедрение обновлений, хотфиксов, - написание краткой инструкции для пользователей по новинкам в работе ПО - администрирование AD, - администрирование баз данных SQL, - подключение и восстановление баз данных, - создание планов резервного копирования, - устранение сбоев и неисправностей в работе баз данных SQL, - администрирование и настройка Wiindows XP, 7, 10, Windows Server 2008, 2012- навыки написания скриптов. bat, - знания Visual Basic"
0,"- Поддержка и развитие крупной ERP-сиcтемы на базе OEBS R12 и 1С: СЭД; - Администрирование пользователей и полномочий; - Планирование и обеспечение работоспособности и отказоустойчивости бизнес-систем; - Мониторинг производительности бизнес-систем, выдача рекомендаций разработчикам; - Планирование и исполнение политик бэкапов бизнес-систем; - Обеспечение клонирования экземпляров тестовой среды (DB Tier, Application Tier); - Установка и тестирование системных патчей (DB Tier, Application Tier); - Взаимодействие с Oracle Support в рамках ведения SR; - Работа с англоязычной документацией.Образование: Высшее Опыт работы по специальности (от 3 лет) обязателен Опыт работы с Oracle E-Business Suite R12 не менее 3-х лет; Опыт работы с RMAN и Arcserve; Владение навыками работы с Oracle SQL & PL/SQL; Владение архитектурой Oracle DB (11g и выше) и OeBS (R12.1.3) на уровне уверенного администратора; Владение MSSQL – на уровне базового администратора; Опыт работы с продуктами: SVN, SQL Developer\PLSQL Developer, Oracle Forms, пр; Опыт работы с Linux на уровне администратора."
0,"Администрирование связки MS SQL+MS Access. Обслуживание выполнение ряда рабочих задач (импорт/экспорт/разграничение доступа и т.д.) Взаимодействие с внешними службами.Среднее профессиональное или высшее образование. Желательно знание SQL, Microsoft SQL Management Studio, MS Access"
0,"Доработка типовых и нетиповых конфигураций 1С 7.7, 8.2, 8.3— Знание на уровне программирования всех типовых конфигураций ""Зарплата и Управление персоналом, ""Бухгалтерия предприятия""; — Опыт программирования 1 С 7.7, 8.2, 8.3. Программирование ToySQL (либо аналоги), — Установка, настройка, обновление, доработка, обучение пользователей, сверка баз. — Администрирование SQL - сервера, Сервера приложения 1С, Настройка обмена данных из других программ, Работа с торговым оборудованием."
0,"Сопровождение не типовой конфигурации 1С: Управление производственным предприятием ред. 1.3 блок Бухгалтерского и Налогового учета. Сопровождение конфигурации Бухгалтерия предприятия ПРОФ. ред. 3.1 Доработка, написание новых отчетов. Организация и поддержка обмена данными между УПП и БП. Поддержка и внедрение типовых методик учета УПП и БП.Уверенное знание механизмов платформы 1С:Предприятие 8.3.  Знание предметных областей и основных Бизнес-процессов Бухгалтерского, Налогового, Управленческого, Кадрового учетов, а так же блока Расчета Заработной платы для целей автоматизации.  Желателен опыт работы и интеграции с продуктами UCS, такие как R-keeper7, Game-Keeper, Премьера, Store House, Head office.  Уверенное знание и опыт работы c WEB технологиями, включая популярную CMS Bitrix а так же разворачивание, администрирование и обслуживание серверов на базе Cent OS6 а так же: apache, nginx, а так же опыт тонкой настройки и оптимизации.  Опыт разработки обменов с MS SQL, обслуживание и тонкая настройка MS SQL.  Умение разбираться и внедрять новые технологии: как ""Софтварные"", так и ""Железные"".  Настройка обменов между конфигурациями 1С и не 1С-ным ПО (нестандартные запросы).  Умение анализировать, выстраивать и автоматизировать новые Бизнес процессы."
0,"- Доработка, сопровождение, консультирование и обучение пользователей по прикладным решениям 1С 8.3 (БП 2, БП 3, УТ 11, Розница 2)  - Администрирование MS SQL SERVER.  - Поддержка пользователей более 50чел.  - Обновление типовых и нетиповых конфигурации  - Внедрение, поддержка и доработка конфигураций 1С под нужды пользователей.  - Подключение и настройка оборудования (ККМ, ТСД, сканер штрихкодов/магнитных карт, принтер чеков/этикеток) - Написание аналитических отчетов  - Администрирование информационной базы, создание механизмов интеграции с другими программами, настройка средств обмена данными  - Написание сложных отчетов на СКД  - Обучение пользователей и консультации он-лайн и по телефону  - Разработка инструкций по работе с программами, оформление технической документации- Отличное знание конфигураций 1С8.3 (УТ 11, ЗУП, БП, Розница)  - Уверенное знание методологии бухгалтерского, управленческого и складского учета.  - Опыт организации обмена данными между распределенными базами  - Разработка и внедрение нетиповых и стандартных форм отчетностей  - Программирование механизмов обмена данными XML  - Аналитический склад ума, высокая скорость мышления  - Готовность и умение решать сложные задачи и добиваться результата  - Высшее образование  - Умение работать в режиме многозадачности  - Стрессоустойчивость"
0,"• Администрирование баз данных; • Создание отчетов и обработок; • Поддержка пользователей в части 1С. • Ведение истории обращений и результатов работы по ним в системе учета задач• Опыт работы с конфигурацией БП 2.0 – обязательно, ЗУП 2.5 – желательно; • Знание основ бухгалтерского учета. • Знание языка программирования, запросов и схем компоновки данных 1С:Предприятие 8.х • Понимание внутреннего устройства и прикладных объектов платформы 1С:Предприятие 8.х • Ответственность и внимательность"
0,"Техническая поддержка работы базы данных сети Компании; Техническая поддержка пользователей базы данных; Взаимодействие со службой поддержки; Обработка заявок службы поддержки.Образование: высшее техническое; Опыт работы: от 2 лет; Владение ПК: Хорошее знание операционных систем семейства Windows; Офисных приложений, Знание принципов построения запросов SQL, Работа в программе TOAD; Навыки работы с приложениями удаленного контроля (Radmin, Teamviewer и т.д.) Ответственность, внимательность."
1,"- Разработка новых приложений в среде разработки Delphi (2007), СУБД Oracle (11); - Интеграция информационных систем, оптимизация существующего кода и скриптов; - Поддержка пользователей (в части ПО); - Доработка аналитической отчетности.- Опыт администрирования СУБД ORACLE; - Хорошее знание PL/SQL; - Опыт разработки коммерческого ПО в области автоматизации бизнес-процессов; - Приветствуется опыт написания ТЗ и документации."
1,"Проектирование и разработка компонентов биллинговой системы или CRM.  Написание PL/SQL пакетов, функций, процедур и т.п.  Рефакторинг существующего кода.  Анализ и настройка производительности.Опыт разработки на PL/SQL от 2х лет. Хорошее знание SQL. Желательно: Опыт разработки высоконагруженных систем. Опыт оптимизации SQL запросов. Знание С++. Опыт работы в команде. Знание предметной области телеком операторов, биллинговых систем. Навыки работы в Unix-средах. Опыт работы с системами контроля версий."
1,"Отдел занимается установкой и обслуживанием систем управления воздушным движением в аэропортах и районных центрах. В обязанности будет входить: • Разработка, поддержка и внедрение программных продуктов. • Среда разработки Qt.• Высшее образование. • Опыт работы от 5 лет (участие в разработке ПО от создания до внедрения; не менее 2-х внедренных проектов); • Уверенное знание: C/C++, PLSQL; • Знание ОС Linux, Windows; • Знание СУБД: Oracle Database; • Знание технического английского.  Приветствуется: • Опыт работы СУБД: Oracle Database; • Коммуникабельность, обучаемость."
1,"• Добавление функционала, отладка и оптимизация существующих приложений; • Разработка алгоритмов для задач биометрии, обработкой цифрового сигнала (компьютерное зрение, поиск цели в зашумлённом сигнале); • Интеграция с ведущими поставщиками видеоаналитики; ти оптимизация сложных SQL-запросов • Планирование, оценка трудоемкости работ, code review и тестирование; • Техническое руководство группой программистов• Опыт работы в области проектирования и разработки программного обеспечения на Java не менее 3 лет; • Опыт работы с протоколами RTSP/RTP; • Знание алгоритмов цифровой обработки сигнала; • Опыт использования технологий: JMS, JNA/JNI, JMX; • Опыт написания Unit-тестов; • Опыт написания технической документации; • Приветствуется опыт работы в области систем безопасности, цифровых систем телевизионного наблюдения • Знание языка SQL; • Опыт работы с СУБД PostgreSQL, BerkeleyDB; • Опыт работы со средствами разработки IntelliJ IDEA, TeamCity, и инструментами совместной работы SVN, Jira, wiki; • Владение C/C++, опыт интеграции Java с нативным кодоменное владение языком SQL; • Понимание принципов проектирования прикладных баз данных; • Английский, чтение технической литературы и форумов; • Российское гражданство"
1,"Крупнейший фармритейлер ПАО ""Аптечная сеть 36,6"" приглашает кандидатов на позицию ""Ведущий разработчик С++""  В Ваши задачи будет входить:  - Организация эффективной командной работы по направлению ""Кассовое ПО""; - Анализ бизнес-требований и проектирование архитектуры системы; - Модификация структуры БД СУБД PostgreSQL, разработка и модификация функций, триггеров на языке PL PgSQL, разработка сложных SQL скриптов; - Поддержка существующего и реализация нового функционала на на языке C++; - Разработка и модификация функций, триггеров на языке Postgrsql Embedded Python; - Разработка функционала взаимодействия клиентского приложения с Web-сервисами; - Разработка и модификация файловых обменов; - Обработка сообщений и файлов в форматах XML и json; - Поддержка работы приложений с периферийным оборудованием (ККМ, платежные терминалы, считыватели магнитных карт); - Разработка и настройка служб Windows- Знание принципов ООП, Win32 API, Embarcadero RAD Studio XE (Delphi приветствуется, C++ Builder обязательно), VCL, COM, DevExpress, PgDAC, FastReport, PostgreSQL (SQL, PL PgSQL), Python, TCP/IP, HTTP, SOAP, XML; - Опыт командной разработки. Понимание принципов работы с системами контроля версий; - Отличное знание программы PostgreSQL (создание запросов, обработка данных); - Английский язык на уровне чтения технической документации.  Личные качества: Внимательность, ответственность, самоорганизация, проактивность, инициативность, умение работать в команде."
1,"Разработка мобильного приложения для Android; Проектирование архитектуры приложения и его компонентов; Выявление и исправление ошибок в работе приложений; Документирование разработанных модулей.Знание языка Kotlin и/или Java; Знание Android SDK, понимание material guidelines; Опыт работы с Git."
1,"Выполнение сложных задач по разработке на IOS. Code review Работа со сторонними API. Работа с системами оплаты.Опыт разработки iOS от 2-х лет Уверенное знание Objective-C / Swift и iOS SDK Понимание работы REST API и HTTP Понимание Git Flow Знание AutoLayout Понимание архитектурных паттернов проектирования (MVC, MVP, MVVM) Как плюс: Опыт разработки коммерческих приложений. Опыт работы с CoreData / Realm. Опыт работы с SDK социальных сетей Unit testing, Jenkins CI. Опыт работы с пуш уведомлениями"
1,"Развитие Систем управления на основе СУБД собственной разработки. Мы используем языки программирования Visual C++, С#, Java для мобильных приложений (Андроид). Библиотеки MFC и QT, ASP.NET, EME-L (язык высокого уровня собственной разработки).Отличное знание C++. Желательно знание Java, C# Приглашаются соискатели c высшим, незаконченным высшим образованием Необходимо вырабатывать не менее 160 часов в месяц Если Вы готовы работать в развивающейся компании, участвовать в разработке новых технологий, решать серьезные задачи, брать на себя ответственность, приходите к нам. Мы будем рады Вас видеть!"
1,Программирование на платформе 1С- Образование: высшее/ неполное высшее (рассмотрим также студентов старших курсов). - Минимальный опыт программирования 1С Предприятие 8.х. - Желание учиться и развиваться.
1,"• Проектирование и разработка систем электронного документооборота • Разработка архитектуры систем, состава и структуры компонентов • Разработка ключевых системных модулей, программных интерфейсов, UI • Проектирование и разработка автоматических тестовПриглашаем в команду Fullstack разработчика С#ASP.NET MVC!  Нам важно: • Опыт участия в полном цикле проекта: сбор требований; проработка архитектуры, разработка, тестирование, поддержка • Хорошее знание платформы .NET, C#, ASP.NET MVC, JavaScript, T-SQL • Хорошее знание инструментария: MS VS 2010-2015, SVN • Опыт использования IIS 7.5, MS SQL Server 2008-2014 • Опыт работы с CruiseControl, TeamCity, или другими средствами непрерывной интеграции  Будет плюсом: • full-stack NET+JS (React) • .NET Core"
1,"- Поддержка и развитие мобильных приложений Компании; - Разработка новых корпоративных мобильных приложения (полный цикл разработки); - Взаимодействие с пользователями, анализ фидбэка.- Знание языков программирования: Java, Objective-C; - Знание iOS SDK и Android SDK; - Опыт создания приложений для iPhone и Android не менее 2-3 лет; - Знание ОПП и шаблонов проектирования пользовательских интерфейсов; - Опыт работы с сетевыми протоколами и базами данных; - Опыт написания клиент-серверных приложений; - GCD/NSOperation/MultiThreading; - Опыт работы с Realm; - Git.  Как плюс: - Возможность показать примеры своего кода; - Наличие опубликованных приложений в Play Market или App Store."
1,"Разработка программ для микроконтроллеровОбязательно знать: Базовые знания языков программирования C/C++; Базовые знания интерфейсов SPI, I2C, UART. Желательно: знание архитектуры современных микроконтроллеров (STM32 и т.д.); опыт работы с операционными системами реального времени; опыт работ с системами контроля версий; умение читать электрические схемы."
1,"Программирование, администрирование 1С 8.3, ЗУП 8.3Уверенное знание языка программирования 1С и возможностей платформы. Опыт программирования в среде 1С от 3х лет."
1,"Обеспечение разработок радиотехнических систем для космических аппаратов. Требуются программисты в разные подразделения.- Муж./жен., гражданство РФ; - образование высшее; Знание основных языков программирования С, С++, Delphi, Python, web-программирование; операционных систем: Windous Linux, SQL. Библиотека Qt. Также принимаем студентов ведущих ВУЗов: МАИ, МЭИ, МГТУ им. Баумана, МГУ, МИФИ"
1,"Разработка программного обеспечения на языках С#, С++ для автоматизации процессов измерений и цифровой обработки сигналов Разработка сопроводительной документацииЗнание С++, знание С#"
1,"Проектирование архитектуры и разработка решений на базе Microsoft SharePoint в рамках сопровождения и развития информационной системы управления проектами (ИСУП). Реализация решений по интеграции с внешними информационными системами. Разработка инструкций для пользователей. Решение задач 2-й линии технической поддержки.Образование высшее профильное. Опыт работы от 1 до 3-х лет. Опыт работы со следующим ПО: Microsoft Office (Excel, Word, Project), SharePoint Designer, Microsoft Visual Studio (C#). Знание языков C#, ASP.Net, XML/XSL, JavaScript, JQuery, HTML. Опыт работы в качестве разработчика/архитектора расширений MS SharePoint 2010-2016Б, разработки приложений для платформы MS SharePoint; Опыт работы с MS SQL Server, знание T-SQL."
1,"Разработка, доработка, внедрение, сопровождение дополнительных модулей 1С. Внедрение БП и ЗУП.Летуны не рассматриваются. Высшее образование (математическое, программистское, техническое), полученное в классическом ВУЗе. Опыт разработки ПО. Алгоритмическое мышление. Умение разбираться в чужом коде (не просто читать). Опыт программирования хотя бы на одном языке SQL - преимущество."
1,"Написание java-сервисов. Рефакторинг существующего кода.Уверенное знание Java SE 7+. Опыт разработки многопоточных приложений с использованием ExecutorService. Опыт работы со Spring 3+ (IoC, SpeL). Опыт работы с серверами приложений (Tomcat, JBoss). Хорошее знание и понимание принципов ООП (шаблоны проектирования). Желательно: Понимание Gitflow. Docker. Git, Maven, Subversion. Oracle Database, знание PL/SQL. Опыт работы с очередями сообщений AMQP. Groovy. Опыт работы с веб-сервисами SOAP (клиент и сервер), желательно Axis. XSLT, XPath, XSD. Понимание и опыт применения Unit-тестирования. Опыт работы с Linux в командной строке."
